Game,Wins,Loss,Rank,Opponent
1,1,,,
2,2,,,
3,3,,,
4,4,,,
5,5,,,
6,6,,,
7,7,,,
8,7,1,,
9,7,2,,
10,8,,,
11,9,,,
12,10,,,
13,11,,,
14,11,3,,
15,12,,,
16,13,,,
17,14,,,
18,15,,,
19,16,,,
20,16,4,,
21,17,,,
22,18,,,
23,18,5,,
24,19,,,
25,19,6,,
26,20,,,
27,21,,,
28,22,,,
29,23,,,
30,24,,,
31,24,7,,
32,25,,,
33,26,,,
34,27,,,
35,28,,,
36,29,,,
37,30,,,
38,31,,,
39,31,8,,
