Game,Wins,Loss,Rank,Opponent
1,1,,,
2,2,,,
3,3,,,
4,4,,,
5,5,,,
6,6,,,
7,7,,,
8,8,,,
9,9,,,
10,10,,,
11,10,1,,
12,11,,,
13,12,,,
14,12,2,,
15,13,,,
16,14,,,
17,15,,,
18,15,3,,
19,16,,,
20,16,4,,
21,16,5,,
22,17,,,
23,17,6,,
24,18,,,
25,19,,,
26,20,,,
27,20,7,,
28,21,,,
29,22,,,
30,22,8,,
31,23,,,
32,24,,,
33,25,,,
34,25,9,,
35,26,,,
36,26,10,,
