Game,Wins,Loss,rank,opponent
1,0,1,,
2,1,,,
3,2,,,
4,3,,,
5,4,,,
6,5,,,
7,6,,,
8,7,,,
9,8,,,
10,9,,,
11,10,,,
12,11,,,
13,12,,,
14,13,,,
15,14,,,
16,15,,,
17,16,,,
18,17,,,
19,18,,,
20,18,2,,
21,19,,,
22,20,,,
23,20,3,,
24,21,,,
25,22,,,
26,23,,,
27,24,,,
28,25,,,
29,26,,,
30,27,,,
31,28,,,
32,28,4,,
33,29,,,
34,30,,,
35,31,,,
36,31,5,,
