Game,Wins,Ranking,Loss,Team
1,1,13,0,EIU
2,2,13,0,BCU
3,3,11,0,HBU
4,4,12,0,TSU
5,5,12,0,LIU
6,5,12,1,IU
7,5,12,1,CU
8,5,nan,1,DPU
9,6,nan,0,LU
10,7,24,0,SMU
11,8,24,0,UTRGV
12,9,23,0,CSUB
13,10,22,0,OSU
14,10,22,1,BU
15,10,22,1,WVU
16,11,23,0,KSU
17,12,23,0,ISU
18,12,18,1,TCU
19,12,18,1,KEN
20,13,nan,0,WVU
21,13,nan,1,KU
22,14,nan,0,OU
23,15,nan,0,UT
24,16,24,0,TCU
25,16,24,1,OSU
26,17,nan,0,KSU
27,18,nan,0,ISU
28,18,22,1,OU
29,18,22,1,UT
30,18,nan,1,BU
31,18,nan,1,KU
